name	id	task	input_format	output_format	n_layers	n_heads	d_model	params_total	params_nonembed	features	circuit_uses_attn_and_mlp	onehot_in_and_dist_out	is_trivial	comments
	102	Reflects each element within a range (default is [2, 7]).	one-hot tokens over vocab d_vocab=42 (+BOS/PAD); len 4-10	per-pos categorical dist over 6 tokens	2	4	4	896	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	50	Applies the hyperbolic cosine to each element	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	123	Apply arccosine to each element of the input sequence.	one-hot tokens over vocab d_vocab=22 (+BOS/PAD); len 4-10	per-pos categorical dist over 20 tokens	2	4	4	886	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	86	Check if each element is a power of 2. Return 1 if true, otherwise 0.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	760	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	105	Replaces each number with the next prime after that number.	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 10 tokens	2	4	4	876	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	68	Increment each element until it becomes a multiple of 3	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 5 tokens	2	4	4	775	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	70	Apply the cosine function to each element of the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	62	Replaces each element with its factorial.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 10 tokens	2	4	4	800	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	121	Compute arcsine of all elements in the input sequence.	one-hot tokens over vocab d_vocab=22 (+BOS/PAD); len 4-10	per-pos categorical dist over 20 tokens	2	4	4	886	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	106	Sets all elements to zero except for the element at index 1.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	True	AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	64	Cubes each element in the sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	8	Identity	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	73	Apply the sine function to each element of the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	56	Sets every third element to zero.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	91	Set all values below a threshold to 0	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 9 tokens	2	4	4	795	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	65	Calculate the cube root of each element in the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	46	Decrements each element in the sequence by 1	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	101	Check if each element is a square of an integer.	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	836	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	60	Increment each element in the sequence by 1.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	79	Check if each number in a sequence is prime	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	760	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	31	Identify if tokens in the sequence are anagrams of the word 'listen'.	one-hot tokens over vocab d_vocab=11 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	752	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	72	Negate each element in the input sequence.	one-hot tokens over vocab d_vocab=22 (+BOS/PAD); len 4-10	per-pos categorical dist over 20 tokens	2	4	4	886	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	104	Apply exponential function to all elements of the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	69	Assign -1, 0, or 1 to each element of the input sequence based on its sign.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	760	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	87	Binarize a sequence of integers using a threshold.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	760	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	80	Subtract a constant from each element of the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	114	Apply a logarithm base 10 to each element of the input sequence.	one-hot tokens over vocab d_vocab=12 (+BOS/PAD); len 4-10	per-pos categorical dist over 10 tokens	2	4	4	796	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	33	Checks if each token's length is odd or even.	one-hot tokens over vocab d_vocab=10 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	748	658	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	55	Applies the hyperbolic sine to each element.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	83	Triple each element in the sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	30	Tags numeric tokens in a sequence based on whether they fall within a given range.	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	4	836	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	90	Replaces a specific token with another one.	one-hot tokens over vocab d_vocab=12 (+BOS/PAD); len 4-10	per-pos categorical dist over 9 tokens	2	4	4	791	658	categorical only	MLP-only lookup	yes	True	AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	75	Double each element of the input sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	2	4	4	805	658	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	15	Returns each token multiplied by two and subtracted by its index.	one-hot tokens over vocab d_vocab=7 (+BOS/PAD); len 4-5	per-pos categorical dist over 12 tokens	3	4	4	870	762	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	130	Clips each element to be within a range (make the default range [2, 7]).	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 6 tokens	3	4	4	1185	987	categorical only	MLP-only lookup	yes	False	single-MLP-lookup
	129	Checks if all elements are a multiple of n (set the default at 2).	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	3	4	4	1165	987	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	36	Classifies each token as 'positive', 'negative', or 'neutral' based on emojis.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 3 tokens	2	4	6	1177	1066	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	14	Returns the count of 'a' in the input sequence.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 10 tokens	2	4	8	2092	1882	MAGNITUDE (numerical s-ops)	attn-only	yes	False	bidir-attn; magnitude->harder GT
	35	Alternates capitalization of each character in words.	one-hot tokens over vocab d_vocab=10 (+BOS/PAD); len 4-10	per-pos categorical dist over 8 tokens	2	4	9	2490	2230	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	37	Reverses each word in the sequence except for specified exclusions.	one-hot tokens over vocab d_vocab=10 (+BOS/PAD); len 4-10	per-pos categorical dist over 8 tokens	2	4	12	4218	3874	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	11	Counts the number of words in a sequence based on their length.	one-hot tokens over vocab d_vocab=10 (+BOS/PAD); len 4-10	per-pos categorical dist over 5 tokens	2	4	12	4179	3874	categorical only	yes	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL
	20	Detect spam messages based on appearance of spam keywords.	one-hot tokens over vocab d_vocab=14 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	2	4	13	4722	4382	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	29	Creates abbreviations for each token in the sequence.	one-hot tokens over vocab d_vocab=10 (+BOS/PAD); len 4-10	per-pos categorical dist over 8 tokens	2	4	13	4754	4382	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	34	Calculate the ratio of vowels to consonants in each word.	one-hot tokens over vocab d_vocab=10 (+BOS/PAD); len 4-10	per-pos categorical dist over 5 tokens	2	4	16	7039	6634	categorical only	MLP-only lookup	yes	False	eval-set(T10); single-MLP-lookup
	7	Returns the number of times each token occurs in the input.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 10 tokens	2	4	17	7737	7302	MAGNITUDE (numerical s-ops)	attn-only	yes	False	bidir-attn; magnitude->harder GT
	26	Creates a cascading effect by repeating each token in sequence incrementally.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 27 tokens	2	4	21	11899	10990	categorical only	MLP-only lookup	yes	True	eval-set(T10); AUTHOR-FLAGGED TRIVIAL; single-MLP-lookup
	44	Replaces each element with the number of elements greater than it in the sequence	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 10 tokens	2	4	24	15260	14458	MAGNITUDE (numerical s-ops)	attn-only	yes	False	bidir-attn; magnitude->harder GT
	67	Multiply each element of the sequence by the length of the sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 42 tokens	2	4	24	16060	14458	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	63	Replaces each element with the number of elements less than it in the sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 10 tokens	2	4	24	15260	14458	MAGNITUDE (numerical s-ops)	attn-only	yes	False	bidir-attn; magnitude->harder GT
	71	Divide each element by the length of the sequence	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 60 tokens	2	4	24	16510	14458	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	93	Swaps the nth with the n+1th element if n%2==1.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	3	4	20	15934	15243	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	18	Classify each token based on its frequency as 'rare', 'common', or 'frequent'.	one-hot tokens over vocab d_vocab=7 (+BOS/PAD); len 4-10	per-pos categorical dist over 3 tokens	2	4	26	16989	16466	MAGNITUDE (numerical s-ops)	yes	yes	False	eval-set(T10); bidir-attn; magnitude->harder GT
	111	Returns the last element of the sequence and pads the rest with zeros.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	3	4	24	22514	21687	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	124	Check if all elements in a list are equal.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 2 tokens	3	4	24	22289	21687	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	45	Doubles the first half of the sequence	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 16 tokens	3	4	24	22639	21687	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	103	Swap consecutive numbers in a list	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	3	4	24	22514	21687	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	82	Halve the elements in the second half of the sequence.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 16 tokens	4	4	24	29868	28916	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	24	Identifies the first occurrence of each token in a sequence.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 3 tokens	2	4	36	32605	31954	categorical only	attn-only	yes	False	
	58	Mirrors the first half of the sequence to the second half.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 11 tokens	3	4	32	39130	38031	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	25	Normalizes token frequencies in a sequence to a range between 0 and 1.	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 56 tokens	2	4	62	97028	92570	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	21	Extract unique tokens from a string	one-hot tokens over vocab d_vocab=5 (+BOS/PAD); len 4-10	per-pos categorical dist over 3 tokens	4	4	50	121483	120580	MAGNITUDE (numerical s-ops)	yes	yes	False	eval-set(T10); magnitude->harder GT
	2	Reverse the input sequence.	one-hot tokens over vocab d_vocab=28 (+BOS/PAD); len 4-10	per-pos categorical dist over 26 tokens	4	4	56	156558	152948	MAGNITUDE (numerical s-ops)	attn-only	yes	False	bidir-attn; magnitude->harder GT
	113	Inverts the sequence if it is sorted in ascending order, otherwise leaves it unchanged.	one-hot tokens over vocab d_vocab=32 (+BOS/PAD); len 4-10	per-pos categorical dist over 30 tokens	7	4	88	663113	656747	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
	97	Scale a sequence by its maximum element.	one-hot tokens over vocab d_vocab=13 (+BOS/PAD); len 4-10	per-pos categorical dist over 64 tokens	3	4	200	1463167	1445703	MAGNITUDE (numerical s-ops)	yes	yes	False	bidir-attn; magnitude->harder GT
IOI	ioi	Indirect Object Identification (IOI) task.	GPT-2-style name/template prompts (LayerNorm)	vocab distribution (last-token IO)	6	4	64	15318103	8769414	categorical (NL tokens)	yes (full IOI circuit)	no (NL, not synthetic one-hot)	False	non-Tracr; LayerNorm; hand-coded
IOI (next-token)	ioi_next_token	Indirect Object Identification (IOI) task, trained using next token prediction.	GPT-2-style name/template prompts (LayerNorm)	vocab distribution (last-token IO)	6	4	64	15318103	8769414	categorical (NL tokens)	yes (full IOI circuit)	no (NL, not synthetic one-hot)	False	non-Tracr; LayerNorm; hand-coded
	3	Returns the fraction of 'x' in the input up to the i-th position for all i.	one-hot tokens over vocab d_vocab=6 (+BOS/PAD); len 4-5	scalar magnitude (REGRESSION)	2	4	12	3869	3724	categorical only	?	no (regression)	False	eval-set(T10); REG->EXCLUDE
	4	Return fraction of previous open tokens minus the fraction of close tokens.	one-hot tokens over vocab d_vocab=7 (+BOS/PAD); len 4-10	scalar magnitude (REGRESSION)	2	4	20	10523	10162	MAGNITUDE (numerical s-ops)	yes	no (regression)	False	eval-set(T10); magnitude->harder GT; REG->EXCLUDE
	39	Returns the fraction of 'x' in the input up to the i-th position for all i.	one-hot tokens over vocab d_vocab=28 (+BOS/PAD); len 4-60	scalar magnitude (REGRESSION)	2	4	120	365643	354962	categorical only	?	no (regression)	False	REG->EXCLUDE
